"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36059","Nassau County, New York","116304","2934"
"0500000US36071","Orange County, New York","75825","4078"
"0500000US36087","Rockland County, New York","89812","4056"
"0500000US36069","Ontario County, New York","62522","3414"
"0500000US36015","Chemung County, New York","53005","3786"
"0500000US36045","Jefferson County, New York","53146","2976"
"0500000US36029","Erie County, New York","56369","1036"
"0500000US36111","Ulster County, New York","63889","4118"
"0500000US36119","Westchester County, New York","94811","3474"
"0500000US36113","Warren County, New York","56482","3144"
"0500000US36063","Niagara County, New York","55306","3093"
"0500000US36079","Putnam County, New York","102525","9059"
"0500000US36051","Livingston County, New York","61609","5259"
"0500000US36103","Suffolk County, New York","100468","1777"
"0500000US36011","Cayuga County, New York","52376","4473"
"0500000US36047","Kings County, New York","61220","1083"
"0500000US36067","Onondaga County, New York","59883","2300"
"0500000US36001","Albany County, New York","64435","4607"
"0500000US36053","Madison County, New York","59678","3687"
"0500000US36081","Queens County, New York","69320","1781"
"0500000US36117","Wayne County, New York","61515","3238"
"0500000US36005","Bronx County, New York","38467","1864"
"0500000US36089","St. Lawrence County, New York","49681","3193"
"0500000US36085","Richmond County, New York","82166","5148"
"0500000US36093","Schenectady County, New York","64847","5147"
"0500000US36009","Cattaraugus County, New York","48179","3100"
"0500000US36055","Monroe County, New York","60222","1616"
"0500000US36105","Sullivan County, New York","52274","6570"
"0500000US36007","Broome County, New York","51125","2910"
"0500000US36027","Dutchess County, New York","80227","3395"
"0500000US36101","Steuben County, New York","55569","3106"
"0500000US36083","Rensselaer County, New York","71648","2014"
"0500000US36013","Chautauqua County, New York","45479","2258"
"0500000US36019","Clinton County, New York","56704","5379"
"0500000US36061","New York County, New York","85066","3480"
"0500000US36091","Saratoga County, New York","83765","4232"
"0500000US36109","Tompkins County, New York","57276","5532"
"0500000US36065","Oneida County, New York","54593","2362"
"0500000US36075","Oswego County, New York","54264","3739"
