"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US36059","Nassau County, New York","1806","43"
"0500000US36071","Orange County, New York","1243","55"
"0500000US36087","Rockland County, New York","1469","88"
"0500000US36069","Ontario County, New York","891","65"
"0500000US36015","Chemung County, New York","794","61"
"0500000US36045","Jefferson County, New York","958","64"
"0500000US36029","Erie County, New York","836","13"
"0500000US36111","Ulster County, New York","1163","48"
"0500000US36119","Westchester County, New York","1483","36"
"0500000US36113","Warren County, New York","876","54"
"0500000US36063","Niagara County, New York","684","24"
"0500000US36079","Putnam County, New York","1350","158"
"0500000US36051","Livingston County, New York","807","59"
"0500000US36103","Suffolk County, New York","1732","47"
"0500000US36011","Cayuga County, New York","767","32"
"0500000US36047","Kings County, New York","1433","15"
"0500000US36067","Onondaga County, New York","848","20"
"0500000US36001","Albany County, New York","993","28"
"0500000US36053","Madison County, New York","760","52"
"0500000US36081","Queens County, New York","1588","17"
"0500000US36117","Wayne County, New York","719","91"
"0500000US36005","Bronx County, New York","1188","14"
"0500000US36089","St. Lawrence County, New York","685","35"
"0500000US36085","Richmond County, New York","1291","63"
"0500000US36093","Schenectady County, New York","972","36"
"0500000US36009","Cattaraugus County, New York","688","39"
"0500000US36055","Monroe County, New York","919","18"
"0500000US36105","Sullivan County, New York","888","90"
"0500000US36007","Broome County, New York","761","32"
"0500000US36027","Dutchess County, New York","1229","56"
"0500000US36101","Steuben County, New York","658","37"
"0500000US36083","Rensselaer County, New York","977","38"
"0500000US36013","Chautauqua County, New York","646","43"
"0500000US36019","Clinton County, New York","827","39"
"0500000US36061","New York County, New York","1746","40"
"0500000US36091","Saratoga County, New York","1119","63"
"0500000US36109","Tompkins County, New York","1153","62"
"0500000US36065","Oneida County, New York","758","26"
"0500000US36075","Oswego County, New York","764","42"
