GEOID,year,name,parent_location,population,poverty_rate,pct_owner_occupied,pct_renter_occupied,median_rent,median_income,median_property_value,pct_rent_burden,pct_white_population,pct_african_american,pct_american_indian,pct_asian,pct_native_hawaiian_and_other_pacific_islander,pct_other,pct_multiple_races
36001,2018,Albany County,New York,1358343,12.5,79.36014234,19.46757356,1763,113370,510053,31.1,67.63,11.94,0.46,9.99,0.08,7.18,2.72
36003,2018,Allegany County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005,2018,Bronx County,New York,381951,12.5,66.42641783,31.48373547,1188,71747,275905,32.3,73.13,11.27,0.21,2.86,0.11,8.23,4.2
36007,2018,Broome County,New York,325695,12.8,67.86765307,29.77908117,1381,85756,445362,32.1,71.55,11.96,0.12,6.04,0,7.12,3.21
36009,2018,Cattaraugus County,New York,109864,6.4,72.17231811,25.17753845,826,59108,155613,24.5,92.09,2.4,0.21,1.2,0,1.93,2.17
36011,2018,Cayuga County,New York,84254,10.9,64.84674619,31.37550959,733,49219,95509,29.2,88.21,5.93,0.02,1.39,0,0.59,3.85
36013,2018,Chautauqua County,New York,111755,7.5,53.8668854,42.61542067,894,50170,136399,26.4,85.41,6.05,0.22,1.36,0.19,1.92,4.85
36015,2018,Chemung County,New York,919719,8.3,63.98744471,34.87434349,823,55333,157560,28.2,77.4,13.24,0.45,3.74,0,2.44,2.73
36017,2018,Chenango County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36019,2018,Clinton County,New York,178599,6.7,66.58909872,31.33894209,1115,59771,231178,29.8,83.51,6,0.28,1.69,0,2.86,5.65
36021,2018,Columbia County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36023,2018,Cortland County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36025,2018,Delaware County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36027,2018,Dutchess County,New York,967612,26.2,59.91175796,38.41794637,1447,91337,548902,30.8,63.12,14.85,0.28,6.09,0.02,12.61,3.03
36029,2018,Erie County,New York,0,15.3,66.40452384,29.25888477,822,53338,183623,26.1,0,0,0,0,0,0,0
36031,2018,Essex County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36033,2018,Franklin County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36035,2018,Fulton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36037,2018,Genesee County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36039,2018,Greene County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36041,2018,Hamilton County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36043,2018,Herkimer County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36045,2018,Jefferson County,New York,210433,7.7,68.49914724,29.03240478,660,52213,126057,25.5,87.13,7.4,0.71,1.33,0,0.75,2.68
36047,2018,Kings County,New York,98892,10.3,83.45746538,12.19888281,1192,93466,343532,26.6,84.16,3.54,0.17,1.97,0,8.47,1.69
36049,2018,Lewis County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36051,2018,Livingston County,New York,63227,12.6,72.57623832,22.68200247,748,56350,126590,24.5,93.12,3.34,0.28,0.81,0,0.5,1.95
36053,2018,Madison County,New York,1481093,6.1,79.10182755,19.61202168,1685,98691,404982,31.8,81.45,7.83,0.37,4.02,0.02,3.86,2.46
36055,2018,Monroe County,New York,77145,9.8,68.87266717,26.8060051,735,47903,131472,21.7,92.09,4.54,0.17,0.75,0,0.69,1.75
36057,2018,Montgomery County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36059,2018,Nassau County,New York,2582830,9.6,30.08915952,68.99568938,1418,60137,743938,31.2,43.59,32.02,0.28,11.62,0.05,8.78,3.65
36061,2018,New York County,New York,461809,9.5,64.5038419,33.57849854,828,57583,145287,26.9,79.63,12.1,0.7,3.46,0.02,0.8,3.3
36063,2018,Niagara County,New York,307117,13,55.33413378,42.21133468,965,59828,219897,27.7,74.55,12.91,0.09,7,0.27,0.9,4.27
36065,2018,Oneida County,New York,70795,5,76.02772852,19.35756892,708,55991,125641,21.3,93.95,1.71,0.09,2.1,0,0.93,1.22
36067,2018,Onondaga County,New York,2278906,9.8,44.79560806,54.21794065,1571,67539,567742,31.3,37.22,18.4,0.45,25.83,0.04,14.28,3.78
36069,2018,Ontario County,New York,90064,9.2,79.21067738,16.97187141,628,58277,124491,24.5,93.4,2.27,0.01,0.71,0,0.98,2.63
36071,2018,Orange County,New York,1432132,16.1,17.86049886,81.08186335,1174,36603,422168,34.8,22.48,35.56,0.61,3.8,0.14,33.1,4.32
36073,2018,Orleans County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36075,2018,Oswego County,New York,108047,9.7,70.53598089,26.19189808,650,46488,92416,23.5,92.52,2.84,0.78,0.95,0.24,1.36,1.31
36077,2018,Otsego County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36079,2018,Putnam County,New York,476179,14.6,68.38095584,29.46665214,1228,77018,544265,27.8,73.08,9.89,0.09,10.23,0.04,4.13,2.54
36081,2018,Queens County,New York,155350,4.7,61.74640474,35.59733058,936,59700,167385,26.6,76.56,9.92,0.97,4.58,0.14,2.62,5.22
36083,2018,Rensselaer County,New York,76840,14.9,70.07490153,25.7603151,649,45079,82259,24.5,91.66,1.32,3.3,0.63,0,0.77,2.32
36085,2018,Richmond County,New York,742474,13.7,64.28731604,34.42310203,901,58606,148566,31,75.54,15.12,0.42,3.84,0.02,2.03,3.03
36087,2018,Rockland County,New York,75498,15.1,64.51423108,31.15025373,798,45704,158912,26.8,80.9,8.83,0.41,1.75,0,5.11,3
36089,2018,St. Lawrence County,New York,191659,12.4,62.82256192,33.55326967,729,48215,115001,29,85.09,5.64,0.31,4.87,0.05,1.75,2.29
36091,2018,Saratoga County,New York,293718,14.3,67.50049595,30.33526361,1173,76832,285793,31.2,78.03,11,0.35,3.36,0.01,3.54,3.71
36093,2018,Schenectady County,New York,95796,11.1,72.22222222,24.79452055,621,52463,97737,23.5,94.68,1.41,0.04,1.63,0,0.53,1.72
36095,2018,Schoharie County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36097,2018,Schuyler County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36099,2018,Seneca County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36101,2018,Steuben County,New York,159442,4.5,62.20945914,34.88235574,939,69634,178295,24.4,85.8,6.66,0.12,2.72,0,0.7,4.01
36103,2018,Suffolk County,New York,127939,9.6,69.37155031,28.19599109,603,43221,83608,29.6,90.9,2.68,0.31,0.56,0.12,3.46,1.97
36105,2018,Sullivan County,New York,80695,6.6,66.08846487,28.06391354,788,51325,125796,21,90.61,4.47,0.07,1.19,0,3.02,0.64
36107,2018,Tioga County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109,2018,Tompkins County,New York,1628701,12,23.27109974,75.55525643,1706,81586,955559,27.1,55.54,14.51,0.76,12.29,0.06,11.89,4.95
36111,2018,Ulster County,New York,230163,9.7,70.81853635,26.71735768,1056,79533,259226,22.7,92.39,2.15,0.24,2.61,0,0.74,1.87
36113,2018,Warren County,New York,102793,18.3,55.20478696,41.31331889,1091,51744,203091,33,79.3,4.58,0.19,10.23,0,2.53,3.17
36117,2018,Wayne County,New York,229577,9.5,65.5963724,32.27758007,732,52231,128895,26,85.28,6.76,0.25,4.27,0,1.3,2.14
36119,2018,Westchester County,New York,117898,8.7,73.74172112,23.5465959,722,50525,105795,31.4,95.1,1.36,0.13,0.82,0.03,0.57,1.99
36115,2018,Washington County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36121,2018,Wyoming County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36123,2018,Yates County,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
